x,y,r,g,b,line,col,level
105,300,244,197,143,5,0,3
138,297,92,93,106,5,1,0
148,318,172,59,57,5,1,1
152,312,194,127,54,5,1,2
158,307,120,72,57,5,1,3
192,303,231,157,82,5,2,0
199,305,110,76,45,5,2,1
208,303,240,128,108,5,2,2
217,303,66,55,53,5,2,3
251,298,209,190,147,5,3,0
260,303,99,56,61,5,3,1
267,304,245,188,126,5,3,2
276,303,252,204,179,5,3,3
311,302,147,55,51,5,4,0
317,302,68,58,50,5,4,1
325,302,225,141,78,5,4,2
333,302,64,80,100,5,4,3
368,300,107,67,60,5,5,0
378,302,210,197,151,5,5,1
383,303,150,51,47,5,5,2
392,305,173,108,49,5,5,3
425,303,235,176,115,5,6,0
434,304,160,122,99,5,6,1
445,306,225,102,89,5,6,2
453,306,102,69,44,5,6,3
485,305,59,58,46,5,7,0
495,305,170,58,56,5,7,1
503,308,212,187,140,5,7,2
512,304,227,144,66,5,7,3
544,306,240,181,122,5,8,0
554,305,90,101,110,5,8,1
563,307,221,92,81,5,8,2
568,302,111,74,40,5,8,3
601,304,59,53,43,5,9,0
611,307,158,44,47,5,9,1
619,302,195,178,134,5,9,2
625,301,235,144,63,5,9,3
658,298,220,136,55,5,10,0
667,304,104,64,59,5,10,1
675,302,246,205,158,5,10,2
681,300,160,53,48,5,10,3
719,300,171,133,111,5,11,0
726,301,250,191,132,5,11,1
736,300,223,133,61,5,11,2
744,298,208,192,149,5,11,3
778,303,161,52,47,5,12,0
787,300,231,168,106,5,12,1
798,300,94,63,67,5,12,2
802,298,214,137,75,5,12,3
835,298,195,172,130,5,13,0
844,294,157,49,48,5,13,1
849,294,219,204,168,5,13,2
855,292,249,196,137,5,13,3
887,293,167,100,47,5,14,0
895,293,95,56,61,5,14,1
904,293,222,105,82,5,14,2
912,292,56,54,51,5,14,3
964,316,105,64,63,5,15,0
956,310,94,60,47,5,15,1
961,297,222,103,89,5,15,2
966,295,62,73,84,5,15,3
997,294,180,108,49,5,16,0
1005,296,85,94,98,5,16,1
1012,297,210,130,60,5,16,2
1019,293,176,145,104,5,16,3
1054,293,103,51,54,5,17,0
1060,294,220,133,97,5,17,1
1068,293,156,166,140,5,17,2
1075,293,177,111,47,5,17,3
1107,291,103,75,52,5,18,0
1114,295,160,46,54,5,18,1
1122,295,78,83,93,5,18,2
1129,294,224,159,100,5,18,3
1162,284,142,109,90,5,19,0
1170,292,171,111,68,5,19,1
1178,288,70,56,53,5,19,2
1183,295,199,108,73,5,19,3
80,349,112,69,78,6,0,0
86,350,219,202,167,6,0,1
95,349,220,113,86,6,0,2
103,351,68,67,63,6,0,3
133,354,246,185,128,6,1,0
143,356,176,139,114,6,1,1
151,354,243,168,93,6,1,2
161,354,88,104,119,6,1,3
193,353,82,90,92,6,2,0
200,361,184,113,49,6,2,1
208,360,102,73,64,6,2,2
217,357,229,158,85,6,2,3
250,369,221,109,89,6,3,0
260,364,60,60,51,6,3,1
268,359,203,125,59,6,3,2
276,355,162,98,61,6,3,3
306,357,105,76,50,6,4,0
312,357,106,58,64,6,4,1
322,355,243,190,131,6,4,2
329,353,158,125,101,6,4,3
364,360,220,140,63,6,5,0
371,356,67,59,52,6,5,1
380,358,223,104,87,6,5,2
391,354,196,182,133,6,5,3
426,354,89,97,101,6,6,0
436,354,163,54,51,6,6,1
444,355,96,68,47,6,6,2
452,357,214,131,60,6,6,3
485,354,218,97,79,6,7,0
496,344,102,62,57,6,7,1
502,352,237,172,107,6,7,2
510,354,249,199,176,6,7,3
544,355,167,129,107,6,8,0
553,356,209,128,57,6,8,1
562,355,76,57,44,6,8,2
569,351,202,85,71,6,8,3
603,353,221,95,80,6,9,0
613,356,83,68,59,6,9,1
621,353,241,182,125,6,9,2
627,350,79,99,101,6,9,3
660,349,82,92,107,6,10,0
669,350,160,42,48,6,10,1
676,347,188,112,46,6,10,2
684,348,249,207,188,6,10,3
716,350,223,104,88,6,11,0
726,350,207,188,154,6,11,1
736,349,104,62,67,6,11,2
744,349,232,146,69,6,11,3
778,344,216,190,150,6,12,0
784,348,219,143,76,6,12,1
794,351,213,96,79,6,12,2
803,350,88,64,42,6,12,3
836,350,239,181,123,6,13,0
843,350,104,63,63,6,13,1
852,349,247,208,163,6,13,2
858,346,172,66,58,6,13,3
891,348,86,101,107,6,14,0
898,333,171,50,56,6,14,1
904,339,97,70,43,6,14,2
911,343,204,80,70,6,14,3
945,347,205,93,86,6,15,0
949,344,61,49,41,6,15,1
962,347,228,144,73,6,15,2
968,347,227,181,137,6,15,3
1000,347,166,60,63,6,16,0
1008,347,138,155,138,6,16,1
1014,345,100,65,70,6,16,2
1020,345,189,108,97,6,16,3
1051,347,223,147,87,6,17,0
1060,343,151,117,92,6,17,1
1088,354,155,58,55,6,17,2
1077,343,254,215,202,6,17,3
1109,344,105,58,60,6,18,0
1114,332,210,130,84,6,18,1
1121,333,108,84,82,6,18,2
1129,344,173,116,62,6,18,3
1158,341,175,109,52,6,19,0
1164,345,77,49,55,6,19,1
1173,346,223,161,98,6,19,2
1179,343,251,218,209,6,19,3
82,397,100,75,53,7,0,0
87,397,220,145,80,7,0,1
96,399,80,95,107,7,0,2
104,405,228,170,116,7,0,3
162,387,177,61,59,7,1,0
162,393,63,63,57,7,1,1
161,401,230,109,90,7,1,2
162,409,212,192,159,7,1,3
193,407,184,112,47,7,2,0
202,408,104,67,66,7,2,1
209,409,236,155,83,7,2,2
215,409,98,68,45,7,2,3
248,405,158,123,95,7,3,0
258,406,245,186,125,7,3,1
265,407,100,56,62,7,3,2
272,407,224,137,57,7,3,3
304,404,240,112,100,7,4,0
310,405,101,113,121,7,4,1
320,405,243,182,117,7,4,2
327,405,115,71,71,7,4,3
362,403,238,171,108,7,5,0
371,406,64,68,78,7,5,1
